Property Name,Date,price
Airyland Room,22/05/2025,111500
Airyland Room,22/05/2025,95600
Airyland Room,22/05/2025,79700
Airyland Room,23/05/2025,123800
Airyland Room,23/05/2025,106200
Airyland Room,23/05/2025,88500
Airyland Room,24/05/2025,151900
Airyland Room,24/05/2025,130200
Airyland Room,24/05/2025,108500
Airyland Room,25/05/2025,158800
Airyland Room,25/05/2025,136200
Airyland Room,25/05/2025,113500
Airyland Room,26/05/2025,123800
Airyland Room,26/05/2025,106200
Airyland Room,26/05/2025,88500
Airyland Room,27/05/2025,111600
Airyland Room,27/05/2025,95700
Airyland Room,27/05/2025,79800
Airyland Room,28/05/2025,111600
Airyland Room,28/05/2025,95700
Airyland Room,28/05/2025,79800
Airyland Room,29/05/2025,111600
Airyland Room,29/05/2025,95700
Airyland Room,29/05/2025,79800
Airyland Room,30/05/2025,124100
Airyland Room,30/05/2025,106400
Airyland Room,30/05/2025,88700
Airyland Room,31/05/2025,152200
Airyland Room,31/05/2025,130500
Airyland Room,31/05/2025,108800
Airyland Room,01/06/2025,158900
Airyland Room,01/06/2025,136200
Airyland Room,01/06/2025,113500
